time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.9458333,-13.121313208186805,-0.2200260770631882,2.911581084866856,-0.05397950826031214,0.9078650693037396,-0.08491348461438566,49.12344926039016,-5.557460040821711,-5.680799601081013,35.26331335972869,0.6154609242786618,-17.00919585665847,-9.713497353647991,-7.499999870001614,-15.610695619693098,1.459933839974081,5.7375093555206265
1.95,-13.224352874997212,-0.065393111075316,2.8978244359665504,-0.0491180901577274,0.8957314375537102,-0.08537328437349305,50.297225942781445,-5.357094041699127,-5.253791671717997,38.075637283494984,0.6645452358259374,-13.354549104821785,-10.443002002157266,-7.499999870001614,-15.830080792321269,1.360167380649977,4.87950250730044
1.9541667,-13.384203062355411,0.07704426884888599,2.8736315794242153,-0.044588131533123763,0.8840777627556917,-0.08519339777680364,51.51747966309137,-5.2114195099395895,-4.757357499877934,40.8198094650853,0.7124400751555325,-9.848941229120049,-10.950837351101384,-7.499999870001614,-16.020618736138353,1.186232864853629,4.211848636332769
1.9583333,-13.590700419842964,0.2061944743406621,2.838786436600059,-0.040429864669832255,0.872953805915569,-0.08442504851738995,52.77881589489629,-5.121675740151286,-4.202768548130927,43.49151554228537,0.7590701424398256,-6.532848487968647,-11.252072521496867,-7.499999870001614,-16.201161878612247,0.941326253680523,3.725505636421306
1.9625,-13.829131247211464,0.32198360184933594,2.793436914754762,-0.03667097479503364,0.8623953611723818,-0.08316193249551387,54.07163829070359,-5.0855467430546835,-3.6066941313134566,46.088043631328354,0.8043881063745209,-3.445532369173828,-11.375087162587844,-7.499999870001614,-16.39497061816417,0.632954058024681,3.4014068975868006
1.9666667,-14.08196370389419,0.42547878854555077,2.7380141958962114,-0.03332379845426066,0.8524222277270272,-0.08153040020482925,55.3830208697781,-5.097282100226103,-2.989589681778982,48.607949192612566,0.8483687549832063,-0.6216007205495,-11.358041201644207,-7.499999870001614,-16.627187027685423,0.2721387808517508,3.2133264773242542
1.9708333,-14.330887775670416,0.51882814332381,2.6731711244150125,-0.030383638546996928,0.8430366005882292,-0.07967753346052542,56.698027997287355,-5.148196088430486,-2.373863515903091,51.05076624268346,0.8910039553165148,1.91212668961556,-11.244750870238622,-7.499999870001614,-16.9220492017287,-0.1275340719049728,3.13109462041174
1.975,-14.55892859263023,0.6050320048367758,2.599776775113288,-0.02782848688208054,0.8342222477934477,-0.07775840013828672,58.00131272971533,-5.227453648844749,-1.7819876540617825,53.416754840523474,0.9322982462569664,4.139059314154986,-11.080427532160495,-7.499999870001614,-17.300156451132192,-0.5509405395607154,3.1237472478955595
1.9791667,-14.752380674848533,0.6876009174932558,2.5189998863286465,-0.025620280365661618,0.8259447646275668,-0.07592371425040521,59.27876003302833,-5.322997293862358,-1.2347202885460626,55.7066506117125,0.9722644668908993,6.054318174373686,-10.907694809160963,-7.499999870001614,-17.77609410046876,-0.9824410598120777,3.1622442705356235
1.9833333,-14.902322580019625,0.7701748132338724,2.4324915930171023,-0.023707642038824854,0.8181530579955948,-0.0743089432468724,60.51892666741011,-5.422461695012358,-0.7495979349839826,57.921389706762824,1.0109189561254535,7.665134245417456,-10.763230560384923,-7.499999870001614,-18.3566937281922,-1.406839475407819,3.2214935224738617
