time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.8916667,-14.566778540847066,0.07853098014093424,-0.8640416021520673,-0.06487995888588656,0.968341330518804,-0.049543809236082745,49.90826626654353,-6.087108781235446,-6.699241670625663,29.90365464731026,0.5219172346925254,-36.031811291296066,-11.99399021289328,-7.49999987000139,-21.947208188945385,1.335107745695882,1.0100411357402999
1.8958333,-14.649096987501348,0.16860442404253254,-0.6475420805259412,-0.059034518940112364,0.9518959133595373,-0.049264550799779205,50.97531535104127,-5.982965437413284,-6.329924206249071,32.555669794053934,0.568203630112576,-31.352173239215702,-12.160049163540439,-7.49999987000139,-21.824651233228753,1.1990141433840815,0.6071211660666848
1.9,-14.75152349663954,0.2644336151795948,-0.4455707125320504,-0.05332635765719659,0.9356021529188723,-0.04897378440741434,52.06711285211482,-5.880441215397612,-5.969387200061808,35.2081078860025,0.6144974073461902,-26.726145041934096,-12.345936064467601,-7.49999987000139,-21.696055458070422,1.0528392512313662,0.2198198617020332
1.9041667,-14.891790887882957,0.37098329039708644,-0.2712403437100612,-0.04788482098735178,0.919605507914093,-0.048660468774789516,53.20633601079001,-5.781121759779149,-5.625240885744344,37.86095068126177,0.6607982480373964,-22.207789272480596,-12.569806253277202,-7.49999987000139,-21.557441029506524,0.8878044410547797,-0.13719429790487817
1.9083333,-15.083215687527133,0.4917645184543052,-0.13498335385118215,-0.042823709254749945,0.9040394017098463,-0.048314701760433974,54.411700175730346,-5.686474616700567,-5.3029802646537085,40.51331863449098,0.7070908012452835,-17.851508905802017,-12.846582645798621,-7.49999987000139,-21.40857597951126,0.6975637789167988,-0.45117483451486495
1.9125,-15.333258265951535,0.6283953780207725,-0.0435777772083263,-0.03823432991464834,0.8890200886583481,-0.04792874941159365,55.69640325333672,-5.597690028357978,-5.005429843431236,43.16310395722768,0.7533382791369394,-13.710998438469723,-13.186645161307249,-7.49999987000139,-21.254002120779674,0.47901883414008967,-0.712269648685723
1.9166667,-15.642854088917415,0.7804267331326105,0.0004323040545092371,-0.0341797106019267,0.8746424266852879,-0.047498476933639094,57.067050148558685,-5.515466534353222,-4.732652757300483,45.80670827459784,0.7994778782322158,-9.837181743993732,-13.594905668280692,-7.49999987000139,-21.103230930050774,0.2327339420015451,-0.9143966878180986
1.9208333,-16.006557757640294,0.9454234673428412,-0.0011383498311151108,-0.030690546418321238,0.8609767005399791,-0.0470250693161475,58.52315792668465,-5.439794662179113,-4.482294885237279,48.438937875850876,0.8454189511802662,-6.275362947867994,-14.070388825878327,-7.49999987000139,-20.97009579935719,-0.03707294715973853,-1.05587907102062
1.925,-16.413422582460772,1.1192555336088994,-0.042453567801433396,-0.027763463919327647,0.8480665938431334,-0.046516732921243045,60.05729057780112,-5.3698074279754335,-4.250252309504961,51.05309212905217,0.8910445498873062,-3.062038827203461,-14.606383210804436,-7.49999987000139,-20.871388057767625,-0.32293853501099634,-1.1396924235800436
1.9291667,-16.848452440917224,1.2965361215496414,-0.11440840632014183,-0.02536207863720764,0.8359283632116578,-0.04598992159319095,61.65581977655654,-5.303762387052863,-4.031509224460944,53.64124809494677,0.9362163929665275,-0.22192443281032173,-15.191144052363862,-7.49999987000139,-20.82500289065514,-0.614899867524809,-1.1732182186064108
