time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,lumbar_extension,lumbar_bending,lumbar_rotation
1.5791667,-15.54632237775892,1.1281237844658734,4.765346270696891,0.015132747103392602,0.9892531851399415,-0.03174099032181699,39.10388682717658,-9.468991865148777,-3.593925888905637,20.35579641055326,0.3552756655306788,-29.67231796962311,-14.769766349954418,-7.499999870001372,-11.554256093832322,0.935400265340344,-7.35603501066716
1.5833333,-15.802925036882517,1.2993736122292348,4.353195185593892,0.017864557559783677,0.9756433890840086,-0.031125516653872868,40.64792337117002,-9.189798193941032,-2.205435581138328,23.32011809689231,0.40701283988432413,-25.629469255519986,-16.502798794096275,-7.499999870001372,-11.411656541846735,0.8133377677820155,-7.230897763145285
1.5875,-16.07199518637815,1.4648893636749702,3.949244383430351,0.02057550372397596,0.962047927384546,-0.03050570388989268,42.21510382961185,-8.90434886462582,-0.845131781952617,26.296518340005314,0.4589608248012881,-21.59643880928141,-18.1717984938634,-7.499999870001379,-11.270088124493649,0.6900368787091491,-7.113313587713097
1.5916667,-16.36435276863861,1.6193793295572472,3.5609946801387418,0.023244559814553176,0.9484857149950771,-0.02987843481385148,43.82606705809556,-8.60730439487508,0.46021204842224567,29.295164868279063,0.511297080599781,-17.586382581594844,-19.716788185556275,-7.4999998700013935,-11.131333152532877,0.5648099797730555,-7.010056851953166
1.5958333,-16.687711442202705,1.7583981840416236,3.194632672310903,0.025850424342634962,0.9349842016707589,-0.029242980346062486,45.4967428677565,-8.295071167980462,1.686538665873571,32.322701154258866,0.5641375577329356,-13.618420200398356,-21.085561729497126,-7.499999870001411,-10.998643964199253,0.43797366418748745,-6.926496784994889
1.6,-17.04556905894477,1.8786717750168047,2.8545659453204286,0.028371563494520205,0.9215819878393043,-0.028601991014622595,47.236691732277876,-7.9664584659644335,2.813583576542923,35.38115965736841,0.6175177292969064,-9.718985335863596,-22.23670616756791,-7.499999870001436,-10.877394013981784,0.311122704769623,-6.866207682969777
1.6041667,-17.436581531396058,1.9783023536748257,2.5431601667156145,0.030786586407884526,0.9083296897293686,-0.027962180515786448,49.04811205702579,-7.623094580970441,3.8256156021058922,38.46744959711527,0.6713836509870375,-5.921632361154431,-23.141656041381232,-7.499999870001468,-10.775564038212323,0.18717969760989614,-6.830869066403717
1.6083333,-17.85450610931087,2.0568201054325876,2.2607045458884034,0.0330750526038019,0.8952888009913912,-0.027334547467422605,50.92554927734285,-7.269549871855234,4.711779095127898,41.573349831489566,0.7255918368022946,-2.26534716369331,-23.785625395123965,-7.499999870001504,-10.703939757758668,0.07021679646816191,-6.8204305197722945
1.6125,-18.288739222435805,2.115066029937701,2.0056075170165704,0.035218676095082405,0.882528566058874,-0.02673402830999305,52.85627999662157,-6.913141045155991,5.466051927543843,44.68588369903544,0.7799158012731539,1.2083133979032983,-24.167426275356576,-7.499999870001539,-10.675899128441102,-0.03491532513957816,-6.833448530645879
1.6166667,-18.725397398811488,2.1549223544489307,1.7748022480212917,0.037202792373646834,0.8701211996664546,-0.026178573047218098,54.821303933367595,-6.563428213311141,6.086907355323367,47.78796897885347,0.834057403403083,4.458754772313208,-24.298328428857722,-7.499999870001571,-10.706714498104615,-0.12308910537402656,-6.867457613486344
1.6208333,-19.148806107583297,2.178939544718039,1.5643231024515452,0.03901792455177849,0.8581360662543331,-0.025687739555760918,56.79684029412587,-6.231458238635485,6.576809252234069,50.85929140802566,0.8876620924230485,7.450001408430185,-24.200203135883687,-7.499999870001596,-10.812383022695117,-0.18945783355475934,-6.919231447904055
1.625,-19.5431916516276,2.189930479519104,1.369996663348395,0.040661271671589075,0.8466335949982022,-0.025280971441440588,58.75618919291287,-5.928842289787703,6.941668286068196,53.87740180280158,0.9403380561678394,10.153980249444972,-23.90321961915149,-7.49999987000161,-11.008102748453759,-0.22999700429383435,-6.98483028227423
1.6291667,-19.89433873805798,2.1906048822076802,1.1881706401845036,0.0421379062630714,0.8356597419535672,-0.024975746929586148,60.67178818362544,-5.666772082775931,7.19034855322397,56.81904659522304,0.9916794433203145,12.553048121657337,-23.44334284082921,-7.49999987000161,-11.306598280478497,-0.2419700345575494,-7.059409615370505
1.6333333,-20.190993513875164,2.183301095307509,1.0163833649947505,0.04346143928479257,0.8252417353672967,-0.02478577498355969,62.51727535595273,-5.455075092320007,7.334257087175414,59.661694330238994,1.0412930058114722,14.64151554486528,-22.859838404453207,-7.499999870001596,-11.716541716441979,-0.2242769938824149,-7.1368545159520576
1.6375,-20.42585426277071,2.1698442117769257,0.8538655108121517,0.04465393726265003,0.8153856509081702,-0.024719404332063596,64.26937114708697,-5.301389299207092,7.386993741952323,62.38513664528326,1.0888260411849071,16.42605466562844,-22.192938680080374,-7.499999870001571,-12.24130059287682,-0.17765970610377457,-7.2093736686982375
1.6416667,-20.596080584797686,2.151529016923063,0.701775181267392,0.04574496188624839,0.8060760786547913,-0.0247784285805786,65.90941884161825,-5.2105131164474905,7.364004692730458,64.97296812125889,1.1339922208687452,17.92500667082915,-21.481770167600548,-7.499999870001539,-12.878182955943974,-0.1047444831836809,-7.267221264566047
