time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,lumbar_extension,lumbar_bending,lumbar_rotation
2.475,-7.285692925445914,-3.052285911015225,5.846655430355473,0.1260614624422084,0.8269287313819892,-0.049424058870727414,41.462236534798166,-6.174931841413013,4.999136444636885,39.70364788204239,0.6929593779068295,1.1279298371839623,-21.35970160363132,-7.499999870001468,-7.8727345032455425,0.4674213203697646,-2.1559898739043444
2.4791667,-7.504475529517982,-2.8331741082026207,5.561040522466728,0.12806864104990096,0.8194123787927831,-0.04878554754117212,44.18266321018912,-6.33866172405841,4.841244054848222,43.545703577333136,0.7600159007903607,1.0566034621112184,-23.154795415017666,-7.499999870001472,-8.363263180482141,0.20813484276830252,-2.9342273711852513
2.4833333,-7.7174093485525415,-2.6200804727294154,5.283800626372702,0.13011417557994645,0.8119202815823149,-0.048205193333983695,46.83814326782175,-6.50390593952117,4.690800364900389,47.3063971722913,0.8256523870928926,1.004255562055218,-24.896805214451728,-7.499999870001475,-8.873858312606238,-0.03387648383487135,-3.6767056499441684
2.4875,-7.91925315615475,-2.4188258629431294,5.022610860594373,0.13223312676940638,0.8044750238329545,-0.04773495172139478,49.36784329592769,-6.671261748927866,4.5559488542013,50.91013419210523,0.8885494642922008,0.9911658053951039,-26.533529436815854,-7.499999870001479,-9.422388705072018,-0.2424071186468675,-4.350505469932708
2.4916667,-8.10594560360071,-2.234842915189428,4.783772944285531,0.1344541384976306,0.7970959664557878,-0.04741515508026693,51.71887177900795,-6.8396419158238135,4.445966765842935,54.29224059648913,0.947578357410732,1.0397836679552548,-28.014682087857157,-7.499999870001482,-10.02257130784897,-0.40328110202198286,-4.92815819769194
2.4958333,-8.27509866713784,-2.0729947837981806,4.571620020233634,0.1367967025192836,0.789797959749157,-0.04727054945287647,53.84955576325029,-7.0058011837030865,4.371258139097598,57.402996663701146,1.0018712935757055,1.1748172536443127,-29.29320863338972,-7.499999870001486,-10.682476311891609,-0.505116882736186,-5.389816876491237
2.5,-8.426357526190682,-1.9374008795626212,4.388081968888992,0.13926906978019601,0.7825905564712313,-0.04730824807226193,55.73192056694672,-7.164275883150511,4.342818589873036,60.210218499091994,1.050866557844422,1.4223547514619461,-30.326962096206454,-7.499999870001489,-11.403658073428735,-0.5398541278466829,-5.724798241767868
2.5041667,-8.561567257181519,-1.8312691337096918,4.232509657695289,0.14186706386633308,0.7754779733148182,-0.04751774746416734,57.35316593555046,-7.307799904952362,4.371208159210242,62.70024656938737,1.0943257463827827,1.8080287806873032,-31.080730312835907,-7.4999998700014965,-12.181013898855564,-0.5030349496759328,-5.932331156426732
2.5083333,-8.684697961162344,-1.756742487760929,4.101839711515557,0.1445739705064204,0.7684599457446457,-0.04787280107975247,58.71599147173053,-7.428172942040804,4.465176976689018,64.87737416148012,1.1323237911889863,2.3544406714545665,-31.528489303011877,-7.499999870001507,-13.00339356491954,-0.3938552810450298,-6.021390031345991
2.5125,-8.801509811362777,-1.7147782225571249,3.9911305976152307,0.14736155548068106,0.761533394564026,-0.04833466324801605,59.8377130469368,-7.517457084229215,4.630172252335196,66.76189260048655,1.1652148427111813,3.0782434845505184,-31.655633756271452,-7.499999870001518,-13.854890102266275,-0.21501241705463656,-6.009572431356713
2.5166667,-8.918980288484287,-1.7050871887504935,3.8944290795369114,0.15019215491354698,0.7546945615355937,-0.048856102281373236,60.74822618586051,-7.5692956523476695,4.8670005972588015,68.38704554939572,1.1935791123463304,3.9874005235402845,-31.460840108952684,-7.4999998700015285,-14.716648098071257,0.027624328156227642,-5.921093041005955
2.5208333,-9.04455573507025,-1.7261600592519912,3.8058520744848052,0.15302168770147265,0.7479411069718556,-0.0493856444995535,61.48699614760741,-7.580111023949017,5.170915284938119,69.79526766852123,1.2181572246608783,5.079151932460169,-30.95719093099832,-7.499999870001536,-15.568949947362054,0.3254953608051597,-5.78408569272332
2.525,-9.185320145043331,-1.7753955453511319,3.720711263395713,0.15580332870099728,0.7412736780205496,-0.04987166264082467,62.09936748251805,-7.549958043841676,5.5313405732182295,71.03412095953216,1.2397792932117455,6.339118555472029,-30.172251185373817,-7.499999870001543,-16.393302153290467,0.6679596949533343,-5.627506104969672
2.5291667,-9.34719169635386,-1.8493233933200033,3.636482561735619,0.1584914653919343,0.7346966443408293,-0.050266071070562045,62.63256838953284,-7.482878602875001,5.93234365923519,72.15232540208822,1.2592956420838726,7.741769051914613,-29.1469245345613,-7.49999987000155,-17.174251539120082,1.0429986157321154,-5.477993623763787
2.5333333,-9.53425803795456,-1.9438908259166785,3.553439583409976,0.16104549639771065,0.7282179833799072,-0.05052750096914903,63.13181867358402,-7.386699445030074,6.353839628453199,73.19621205148414,1.277514900763819,9.25222204368601,-27.93309965805067,-7.499999870001557,-17.90071240745437,1.4379709157391618,-5.357070630627487
2.5375,-9.748341119823001,-2.0547636399048597,3.4748285232763703,0.16343304912323248,0.7218485853133663,-0.050623889203091056,63.63692186796697,-7.272313806155186,6.773392086075097,74.20682313064796,1.295153391195799,10.829109140713856,-26.590288329985164,-7.4999998700015675,-18.566670971862457,1.8403678384107367,-5.2790295327267795
