Trial_ID,Total_Score,1_Knee_Flexion_IC_L,1_Knee_Flexion_IC_R,1_Knee_Flexion_IC_T,2_Hip_Flexion_IC_L,2_Hip_Flexion_IC_R,2_Hip_Flexion_IC_T,3_Trunk_Flexion_IC_T,4_Ankle_Plantar_Flexion_IC_L,4_Ankle_Plantar_Flexion_IC_R,4_Ankle_Plantar_Flexion_IC_T,5_Asymmetrical_Timing,6_Asymmetrical_HeelToe_ToeHeel,7_Lateral_Trunk_Flexion_IC_L,7_Lateral_Trunk_Flexion_IC_R,7_Lateral_Trunk_Flexion_IC_T,8_Medial_Knee_IC_L,8_Medial_Knee_IC_R,8_Medial_Knee_IC_T,9_Stance_Wide_IC_L,9_Stance_Wide_IC_R,9_Stance_Wide_IC_T,10_Stance_Narrow_IC_L,10_Stance_Narrow_IC_R,10_Stance_Narrow_IC_T,11_IR_Foot_IC_L,11_IR_Foot_IC_R,11_IR_Foot_IC_T,12_ER_Foot_IC_L,12_ER_Foot_IC_R,12_ER_Foot_IC_T,13_Knee_Flexion_Displacement_L,13_Knee_Flexion_Displacement_R,13_Knee_Flexion_Displacement_T,14_Hip_Flexion_Displacement_L,14_Hip_Flexion_Displacement_R,14_Hip_Flexion_Displacement_T,15_Trunk_Flexion_Max_T,16_Medial_Knee_Max_L,16_Medial_Knee_Max_R,16_Medial_Knee_Max_T,17_Asymmetrical_Load_T,18_Joint_Displacement_T,19_Overall_Impression_T,1_Knee_Flexion_IC_L_deg,1_Knee_Flexion_IC_R_deg,2_Hip_Flexion_IC_L_deg,2_Hip_Flexion_IC_R_deg,3_Trunk_Flexion_IC_deg,7_Lateral_Trunk_Flexion_IC_deg,8_Medial_Knee_IC_L_deg,8_Medial_Knee_IC_R_deg,9_Stance_Hip_abd_IC_L_deg,9_Stance_Hip_abd_IC_R_deg,11_IR_Foot_IC_L_deg,11_IR_Foot_IC_R_deg,12_ER_Foot_IC_L_deg,12_ER_Foot_IC_R_deg,13_Knee_Flexion_Displacement_L_deg,13_Knee_Flexion_Displacement_R_deg,14_Hip_Flexion_Displacement_L_deg,14_Hip_Flexion_Displacement_R_deg,15_Trunk_Flexion_Max_deg,16_Medial_Knee_Max_L_deg,16_Medial_Knee_Max_R_deg,17_Asymmetrical_Load_L_deg,17_Asymmetrical_Load_R_deg
s4_less_bw_t1,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,33.71383778903602,40.6475358925645,35.05746920148636,33.59325495317785,-19.24652452410929,3.607674674836908,1.007674199792384,0.2017617916042072,-3.755831691048449,-10.40094333144982,-16.935316566574603,-34.18365284573559,-16.935316566574603,-34.18365284573559,95.562508501216,96.5495371106848,96.21794139239869,94.4621382516562,-31.26295797294611,10.537577004856113,13.079855597985416,0.905288117393293,-4.643139939232396
s4_less_bw_t2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,37.52861900821876,34.350427940410306,36.06083947498036,32.46540371018741,-12.08635640185175,-5.147526320243397,0.1845803057399158,2.089673656065882,-8.154165409991911,-5.162396700728366,-22.6848567361471,-13.162053699243437,-22.6848567361471,-13.162053699243437,87.49455900944228,87.27769645005529,78.25707737856602,75.3600781077227,-25.6645258622697,5.322434896581147,6.755358512769298,-1.3038419640945758,-8.629004926406264
s4_less_bw_t3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,41.90675387456727,35.450604397577905,45.40349603166945,39.98117919618393,-14.660414399250213,4.088748460440142,-5.761665175806702,0.6060398831318358,-7.575339351609892,-7.289850888755337,-11.808201482836756,-17.4892518782905,-11.808201482836756,-17.4892518782905,99.98891209270208,102.44392330442346,82.5154198255006,84.18000325706917,-34.48665917032695,4.9648977327836725,7.923866024103254,-0.7408578024686128,-5.940069923906623
s4_less_bw_t4,7,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,36.005805242083404,27.37191476170317,42.516632503323976,32.66037455757745,-7.421236619416208,-7.821008086268263,2.031898266868403,-3.640280686100668,-6.389617216372554,-8.625670702077901,-10.541485827704102,-14.798871561473687,-10.541485827704102,-14.798871561473687,90.2090172015388,93.72567248335608,79.10330529478728,76.95742437410723,-27.420475896474485,7.063221261106069,6.623233769035315,-5.981012523289723,-11.112222809399368
s4_less_bw_t5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,36.659245640997774,39.70364788204239,44.2925430445377,41.462236534798166,-7.8727345032455425,0.4674213203697646,-1.0468673219163884,4.999136444636885,-7.293736269998964,-6.174931841413013,-9.15188601186987,-21.35970160363132,-9.15188601186987,-21.35970160363132,97.95072030144162,99.74661638992386,85.29475483395463,82.70570725007686,-22.929545804432248,7.007103454079265,10.964658296456198,-1.3093059717029971,-10.920100198711795
s4_less_vest_t2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,33.305098141520894,30.174585598576652,37.22220339929979,30.19394872513844,-9.34995742295081,1.4200196192549537,0.2146298893538547,2.723154550920717,-5.864305689754529,-7.348390979985405,-17.585785317385632,-25.98697447128839,-17.585785317385632,-25.98697447128839,91.2737734081178,92.54081457798344,77.66651244592514,72.57293171927128,-29.269944872975536,9.216283974662934,8.814409144450876,-2.5008072748453705,-7.60034716075967
s4_less_vest_t3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,38.971308503687176,21.4471555450823,51.906852311939176,37.832155482717965,-18.280642309717,2.0453659532120856,-1.3100711255926538,-2.1087476893887374,-6.958655829011511,-7.272546441774888,-12.34930933463293,-13.967156027810868,-12.34930933463293,-13.967156027810868,92.54828663668472,95.25655325014448,93.5758326553756,88.12381904217187,-34.21107444295496,8.556690609167282,7.897741354817655,-2.852922590170511,1.228539846766703
s4_less_vest_t4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,36.55647557962021,34.34111880186994,38.83090488635337,35.976977780737826,-12.357625920742286,2.09301314349608,3.82377602720759,3.168292768507541,-3.997591227807887,-10.820223420125645,-13.335627099960035,-23.794892306427304,-13.335627099960035,-23.794892306427304,93.3539038867563,91.51865780580914,78.896692598169,76.74519029478829,-26.186667683837808,10.552106259745358,7.478132170095312,-0.8215931102278201,-10.642900971089146
s4_less_vest_t5,6,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,28.61491134279618,24.584357124329845,34.61930064002392,28.13704010739293,-12.140347412210046,3.9967918266297313,2.911566048047596,6.720526211072483,-4.374347103622351,-7.1163826981411935,-11.202886024073822,-7.991233853443013,-11.202886024073822,-7.991233853443013,85.21765846560804,87.3504478872193,80.4270571858423,80.03376280781444,-27.49100620958408,7.377639683992282,10.50510567166275,-1.0664891304757331,-8.550258503540768
