Trial_ID,Total_Score,1_Knee_Flexion_IC_L,1_Knee_Flexion_IC_R,1_Knee_Flexion_IC_T,2_Hip_Flexion_IC_L,2_Hip_Flexion_IC_R,2_Hip_Flexion_IC_T,3_Trunk_Flexion_IC_T,4_Ankle_Plantar_Flexion_IC_L,4_Ankle_Plantar_Flexion_IC_R,4_Ankle_Plantar_Flexion_IC_T,5_Asymmetrical_Timing,6_Asymmetrical_HeelToe_ToeHeel,7_Lateral_Trunk_Flexion_IC_L,7_Lateral_Trunk_Flexion_IC_R,7_Lateral_Trunk_Flexion_IC_T,8_Medial_Knee_IC_L,8_Medial_Knee_IC_R,8_Medial_Knee_IC_T,9_Stance_Wide_IC_L,9_Stance_Wide_IC_R,9_Stance_Wide_IC_T,10_Stance_Narrow_IC_L,10_Stance_Narrow_IC_R,10_Stance_Narrow_IC_T,11_IR_Foot_IC_L,11_IR_Foot_IC_R,11_IR_Foot_IC_T,12_ER_Foot_IC_L,12_ER_Foot_IC_R,12_ER_Foot_IC_T,13_Knee_Flexion_Displacement_L,13_Knee_Flexion_Displacement_R,13_Knee_Flexion_Displacement_T,14_Hip_Flexion_Displacement_L,14_Hip_Flexion_Displacement_R,14_Hip_Flexion_Displacement_T,15_Trunk_Flexion_Max_T,16_Medial_Knee_Max_L,16_Medial_Knee_Max_R,16_Medial_Knee_Max_T,17_Asymmetrical_Load_T,18_Joint_Displacement_T,19_Overall_Impression_T,1_Knee_Flexion_IC_L_deg,1_Knee_Flexion_IC_R_deg,2_Hip_Flexion_IC_L_deg,2_Hip_Flexion_IC_R_deg,3_Trunk_Flexion_IC_deg,7_Lateral_Trunk_Flexion_IC_deg,8_Medial_Knee_IC_L_deg,8_Medial_Knee_IC_R_deg,9_Stance_Hip_abd_IC_L_deg,9_Stance_Hip_abd_IC_R_deg,11_IR_Foot_IC_L_deg,11_IR_Foot_IC_R_deg,12_ER_Foot_IC_L_deg,12_ER_Foot_IC_R_deg,13_Knee_Flexion_Displacement_L_deg,13_Knee_Flexion_Displacement_R_deg,14_Hip_Flexion_Displacement_L_deg,14_Hip_Flexion_Displacement_R_deg,15_Trunk_Flexion_Max_deg,16_Medial_Knee_Max_L_deg,16_Medial_Knee_Max_R_deg,17_Asymmetrical_Load_L_deg,17_Asymmetrical_Load_R_deg
s3_less_bw_t1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,43.32690367218346,27.85603764236426,41.90172826645385,33.49975018228056,-14.524344089578296,-0.624445968020377,2.142934763342441,-1.5243870224879978,-10.167482665159296,-0.3122140780281811,-13.295106628051874,-25.76396134339746,-13.295106628051874,-25.76396134339746,110.07033300092336,110.2743279808164,115.60684604963382,114.63718869786264,-29.604956495726228,15.019761361337492,5.836483899375302,0.4199580399020949,3.924965227186994
s3_less_bw_t3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,47.30961453688192,39.84141456468673,42.17602364680149,37.68345628670753,-18.588081475793505,-1.575339739412633,6.685978714540361,-0.7500018517918783,-8.766624964826294,-0.3459348226439042,-12.041634473216122,-23.15092797038165,-12.041634473216122,-23.15092797038165,136.05880211879062,132.5754104134576,118.50233085524084,118.10562442934096,-30.58863605561361,18.695438295687957,7.820832533687432,-2.3282410881813105,-4.80429854194024
s3_less_bw_t4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,49.07067078397667,37.97231075341938,44.37237921185441,35.88041869068233,-18.37989702341536,-1.8345300121876784,7.12273543707239,-3.6925729241222687,-9.084948760143542,-1.2767705843587858,-12.708558834330171,-24.39027057362828,-12.708558834330171,-24.39027057362828,130.31191764606177,132.70014749295404,119.73533916703984,118.50188223857124,-39.60122366059934,14.998172562661738,11.530193750948746,-2.0321757081217258,-1.2807587671165916
s3_less_bw_t5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,2,2,51.60799710291839,38.25124260299594,44.53011725667062,36.048976488696326,-21.738580973729533,-1.1313524969114583,4.472776821915492,1.121006207456056,-8.867591454387282,-2.5186960391368363,-3.6960928379509137,-24.49316543909505,-3.6960928379509137,-24.49316543909505,124.30261314615328,126.0773165530521,119.04934011928964,119.66554778606562,-29.59907836354153,21.09352531322664,2.9919615084544477,-5.730158603554457,-0.3351695414125791
s3_less_bw_t6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,59.572007478984176,32.82474646780245,53.67463796747042,36.94803694031399,-21.84701864582201,3.348420078290858,2.018388906962774,-0.2148480596133835,-5.906512660496311,-8.181365010069026,-8.60989724814904,-19.28320579731613,-8.60989724814904,-19.28320579731613,123.05849952744856,123.31766638981009,119.3360482367739,118.12554617000964,-32.39537667594685,18.54376144065914,8.31292043759933,-2.224779901208227,3.065319451367023
s3_less_bw_t7,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,42.94087562161543,37.21017893682428,33.25302012098228,29.48740137334216,-17.495589849460956,-1.6386583608442855,7.665125064218355,-1.7284097892096972,-6.892071307066365,-2.2049578890162613,-4.052495835655199,-28.336144719491745,-4.052495835655199,-28.336144719491745,140.26575728815325,140.14055413257142,119.81047337654904,116.37487154438472,-46.73419667597648,15.99013481867454,12.548191259116626,-2.997917292450721,-8.748195946038416
s3_less_vest_t1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,33.4313544858676,26.20801386109704,34.66109495329658,33.05619435735771,-17.734951496826763,-0.3610494713243869,5.803032934150828,-0.694587622746931,-6.1789690425853605,-1.5494275371182595,-8.62694810176638,-24.037421116176517,-8.62694810176638,-24.037421116176517,94.90107240783394,91.19113655524714,99.60127389258278,102.7007992310734,-34.01887388113568,7.19984539475858,8.799474613615194,-1.9516626850129837,1.5484811721511833
s3_less_vest_t2,12,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,2,2,67.90039613059321,21.50647318924379,55.20404002339585,34.18608613106741,-19.001817104259672,-1.9142395578657576,9.650727095530607,-1.663384103371049,-5.687878711005574,-2.876591307088442,-14.659715062245851,-19.9685263695228,-14.659715062245851,-19.9685263695228,119.70620663748416,115.24330224471692,103.5541108081652,110.16835629918371,-28.774536608640872,16.339024552761718,9.379312128231708,0.6832489619217845,-1.699249713874928
s3_less_vest_t3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,34.810384270332946,26.74677608968111,39.55553299111102,34.063824365240784,-19.09664541343769,-1.0625375771463117,10.783097865666097,0.1207500075406163,-5.516958639061616,-1.8967303517042933,-8.726740374234627,-18.49756680852084,-8.726740374234627,-18.49756680852084,77.00827513676148,79.19800733749274,74.10876903729886,73.21225794620108,-32.79675518559584,10.49038351316187,8.362494028860858,-0.915833014306328,-1.756328041037095
