time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,lumbar_extension,lumbar_bending,lumbar_rotation
2.375,-2.0355743954152605,-0.2756746463615965,-1.2823103743850075,-0.0680209162668841,0.9808532562125722,-0.14399588754566997,34.13765499506239,-7.845260332563544,-8.20731707517699,31.350656305222667,0.5471721725741591,-6.595831664121927,-7.8199050004255115,-7.499999870001461,-31.886395466736005,2.8943686062216374,0.839343636977799
2.3791667,-2.1111049502682544,-0.3383808903965663,-1.3998839991562309,-0.06452008581647599,0.9685196973528672,-0.14466947332990263,35.8386195312761,-7.333738076184593,-6.658588684191687,34.99260916718376,0.6107362420543776,-3.4362916425457217,-9.350671937401167,-7.499999870001461,-32.34497041349866,2.7939992052629035,0.23324455987764303
2.3833333,-2.178064765196599,-0.39570224773032625,-1.5174622693950108,-0.06107730703320132,0.9563074523083032,-0.14544263346105038,37.527505684404325,-6.850085497499685,-5.1385944130970325,38.601126713207414,0.6737167551472294,-0.3439752887992951,-10.814495964494247,-7.499999870001461,-32.82620262648196,2.706132259826829,-0.35858040142652675
2.3875,-2.228133345788445,-0.4427402696073439,-1.634780379065315,-0.05774758501540349,0.9443307064998259,-0.14639681284687756,39.19170616013237,-6.419339705573408,-3.674630155155747,42.14394463751091,0.7355505934512571,2.619219534675112,-12.15005398967029,-7.499999870001461,-33.351992258925144,2.6418975530583646,-0.9224238749269505
2.3916667,-2.253535970896732,-0.4755174651202199,-1.7510994712592653,-0.05458017261624517,0.9326898355496311,-0.14758024155533614,40.817814263010696,-6.06122504648465,-2.291198065535248,45.59113861150872,0.7957154788773327,5.401348668263812,-13.306684219729561,-7.499999870001461,-33.942720956807214,2.609821499413113,-1.4457068843126644
2.3958333,-2.247322784761443,-0.4912987796016962,-1.8650902434961338,-0.051616585652261605,0.9214663687242562,-0.14899826065619698,42.39167132958604,-5.788266310196268,-1.0087997146628789,48.91625035162367,0.8537496272415037,7.9637443624841335,-14.248413923292555,-7.499999870001461,-34.61647758574373,2.6148502690361397,-1.9175304350408664
2.4,-2.20363297018438,-0.4887540824666819,-1.974832252103326,-0.04888938298850554,0.9107199900912274,-0.15061054667350235,43.898794308448316,-5.604747302037019,0.15702352221965243,52.09730232378747,0.9092694582005616,10.28270017000364,-14.956506458846823,-7.499999870001461,-35.3883040294789,2.65772773011256,-2.32920189616188
2.4041667,-2.11791691745382,-0.467932720729622,-2.077928386475696,-0.04642173109175264,0.9004878367956453,-0.15233553376974016,45.32512040124402,-5.506648012290358,1.1963223635834803,55.117604184168655,0.9619836702982671,12.3494511211029,-15.430232374392626,-7.499999870001461,-36.26951710515458,2.7347921380896434,-2.674705143300528
2.4083333,-1.9870937648661924,-0.43005252853478715,-2.171714585810141,-0.04422781934285355,0.8907859059550991,-0.15406113694351128,46.65794961145099,-5.4825543456962125,2.105000001406955,57.96625950511508,1.0117020850010316,14.168635699539763,-15.685799525749742,-7.499999870001461,-37.267177900686384,2.838215071293886,-2.9510675661665053
2.4125,-1.809641659593462,-0.3771437064031525,-2.253529643371658,-0.04231420866557311,0.8816119432010051,-0.15565985587899117,47.88695828150087,-5.515383729691665,2.88470229549379,60.63831316151528,1.0583382190741533,15.755614398383722,-15.75364406117385,-7.499999870001461,-38.38377433972755,2.9566635915589496,-3.1585701041601992
2.4166667,-1.5856433027995505,-0.3116202948071177,-2.3209994679831287,-0.0406820292944569,0.8729489749251196,-0.15700571948022926,49.005173722710985,-5.584647463701502,3.5423731884134266,63.134520231318014,1.1019052511334282,17.133122924644212,-15.674511059976549,-7.499999870001461,-39.6171572784821,3.0763258488366607,-3.3007534723360847
2.4208333,-1.3168240730474692,-0.23586611169612984,-2.37228621314538,-0.039329587296490574,0.8647687362096047,-0.15799044663704348,50.00981342268712,-5.668909654098275,4.089525127844856,65.46075394111979,1.1425056883443898,18.32775795974559,-15.494880718101804,-7.499999870001461,-40.96073385335875,3.1822045146159414,-3.384193999626239
2.425,-1.0066156842057135,-0.1519138068829345,-2.406257882556566,-0.03825460556338571,0.8570345260837884,-0.15853658100839957,50.90289457308036,-5.748111644173557,4.541274115132433,67.62710236031012,1.1803156007589346,19.366744157106115,-15.262310628802151,-7.499999870001461,-42.40388347752066,3.25955393780475,-3.418049300241223
2.4291667,-0.660258571613285,-0.06127094865125143,-2.422549368501722,-0.037455283825754734,0.8497033275894524,-0.1586060298364413,51.69152583940729,-5.80549378306351,4.91518571562723,69.64673449637351,1.2155648309429623,20.275331628766292,-15.021192946501305,-7.499999870001461,-43.932529295757455,3.2953185811297216,-3.4133996188931865
2.4333333,-0.2849307907161039,0.035084603355196725,-2.4215091246367564,-0.036929698359982666,0.8427272674414817,-0.15820325970914845,52.38782043350281,-5.82893770335915,5.229982191192237,71.53464453350198,1.2485150768038344,21.07504241633881,-14.80930390025499,-7.499999870001461,-45.52977970367848,3.2794261165423175,-3.3824313974542632
2.4375,0.11013134158239021,0.13654916476404205,-2.4040519771073563,-0.03667361969522391,0.836054650521741,-0.15737327187122435,53.00841842409477,-5.811650786782561,5.5041763659597915,73.30639926394929,1.2794380301420907,21.782840146981652,-14.655380775311206,-7.499999870001461,-47.17655899247595,3.2058022291488184,-3.3375248558830184
2.4416667,0.5135704463189156,0.24261333282026998,-2.37146179725756,-0.03667734822152899,0.8296309073871795,-0.1561952451970253,53.57366091070038,-5.752205464164102,5.754720884394051,74.97700793094363,1.308595651688374,22.41115712336462,-14.577816566996393,-7.499999870001461,-48.85217420202683,3.0730059800601044,-3.2903170300818383
2.4458333,0.9119581633696838,0.35251220292237606,-2.3252015009709277,-0.03692245310927757,0.8233998227459188,-0.15477322777442262,54.10649947134544,-5.6540187918513265,5.995781499375597,76.56000417017724,1.336224147959309,22.96859679542551,-14.584430309324754,-7.499999870001461,-50.53480736142601,2.8844293317964507,-3.2508153757091556
2.45,1.2900095412118187,0.4648691510477859,-2.2667871777614548,-0.037379292092754104,0.8173053237659492,-0.1532254080832795,54.631241233394654,-5.524406209228704,6.237749651595185,78.06678768885135,1.3625224813892185,23.46105539303261,-14.67316677036799,-7.499999870001461,-52.20196301524744,2.648053214579934,-3.22663457414405
2.4541667,1.631000456276488,0.5773964845819847,-2.197766726141257,-0.038005957171467514,0.8112938929807962,-0.15167336052859193,55.17222681747199,-5.373367066304327,6.4865978999420735,79.50623499720608,1.3876455763136712,23.892985755013356,-14.833513660040955,-7.499999870001461,-53.830925498556674,2.375797259126139,-3.2224210022867434
2.4583333,1.9174037675959332,0.686708106290082,-2.119814161238023,-0.03874894319876203,0.8053174018310845,-0.15023234457264997,55.75252663687088,-5.2122621169179455,6.7436511120243186,80.88456442655013,1.4117019630896492,24.268557687348434,-15.048399035328258,-7.499999870001461,-55.39927957422222,2.0825369557240268,-3.239516123412561
2.4625,2.1317264870684545,0.7882835147476659,-2.0349154222395587,-0.03954546184473566,0.7993359351949128,-0.14900334318096614,56.39273089939892,-5.052529466136069,7.005799071000328,82.20543214250856,1.4347554538427543,24.592539176900328,-15.296338221058594,-7.499999870001461,-56.88552166052782,1.7848893778363297,-3.2758915414048855
2.4666667,2.2574917481328725,0.8766001995935518,-1.9455893981196783,-0.04032699401962921,0.7933200622060813,-0.1480671493416656,57.10990325592636,-4.9045597670692125,7.266119964480712,83.47023776972098,1.4568304766244136,24.870812010164183,-15.553626707362467,-7.4999998700014645,-58.26974760073911,1.4998856461173045,-3.326363823131964
2.4708333,2.2802770674813004,0.945427035506952,-1.8550692378833729,-0.04102346080020878,0.7872520452191141,-0.14748052964439873,57.91676204514681,-4.776818105744513,7.5148326389960864,84.67862144803281,1.477920750679161,25.110523290165084,-15.796413476127757,-7.499999870001472,-59.53436364312489,1.243653067321207,-3.383068369619499
2.475,2.188704439992942,0.9882501752039508,-1.7673712543020645,-0.04156735387011782,0.7811256928413978,-0.14727434883723128,58.82113865042675,-4.675263459888178,7.7404615082438175,85.82912726367579,1.498000865503639,25.319941998051153,-16.00253114272691,-7.499999870001482,-60.66474401748734,1.030221582087696,-3.4361450266459794
